CLIENTE;ESTADO;REGIAO;RITO;ESCRITORIO;TIPO;VALOR;FORMA_PAGTO;RESULTADO
Rede Abastecedora Número 137;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 390.000,00; PARCELADO ;REALIZADO
Rede Abastecedora Número 138;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 181.097,18; PARCELADO ;REALIZADO
Rede Abastecedora Número 139;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 750.000,00; PARCELADO ;REALIZADO
Rede Abastecedora Número 140;SP;SÃO PAULO;EXTRAJUDICIAL;Jurídico Interno;ACORDO;R$ 275.731,80; PARCELADO ;NÃO REALIZADO
Auto Posto Segunda-Feira;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 750.000,00; PARCELADO ;NÃO REALIZADO
Auto Posto Terça-feira;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 1.700.000,00; PARCELADO ;NÃO REALIZADO
Auto Posto Quarta-feira;PR;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 313.783,86; PARCELADO ;NÃO REALIZADO
Auto Posto Quinta-feira;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 165.000,00; PARCELADO ;NÃO REALIZADO
Auto Posto Sexta-feira;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 1.489,69; A VISTA ;REALIZADO
Auto Posto Sábado;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 16.456,56; A VISTA ;REALIZADO
Auto Posto Domingo;PR;SUL;JUDICIAL;Escritório 6;DECISÃO JUDICIAL;R$ 146.159,56; PARCELADO ;REALIZADO
Auto Posto Mais 1;RJ;SUDESTE;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 5.104,71; A VISTA ;REALIZADO
Auto Posto Mais 2;SP;SÃO PAULO;EXTRAJUDICIAL;Jurídico Interno;ACORDO;R$ 5.172.200,59; PARCELADO ;REALIZADO
Auto Posto Mais 3;SP;SÃO PAULO;JUDICIAL;Escritório 7;ACORDO;R$ 895.429,14; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 4;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 316.119,35; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 5;RS;SUL;EXTRAJUDICIAL;Jurídico Interno;ACORDO;R$ 120.002,52; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 6;TO;NORTE;JUDICIAL;Escritório 7;ACORDO;R$ 79.984,49; PARCELADO ;REALIZADO
Auto Posto Mais 7;MG;SUDESTE;JUDICIAL;Escritório 2;ACORDO;R$ 52.964,36; PARCELADO ;REALIZADO
Auto Posto Mais 8;GO ;CENTRO OESTE;JUDICIAL;Escritório 4;DECISÃO JUDICIAL;R$ 350,39; A VISTA ;REALIZADO
Auto Posto Mais 9;GO ;CENTRO OESTE;JUDICIAL;Escritório 4;DECISÃO JUDICIAL;R$ 750.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 10;SP;SÃO PAULO;EXTRAJUDICIAL;Jurídico Interno;ACORDO;R$ 265.922,28; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 11;BA;NORDESTE;JUDICIAL;Escritório 7;ACORDO;R$ 283.841,56; PARCELADO ;REALIZADO
Auto Posto Mais 12;PI;NORDESTE;JUDICIAL;Escritório 7;ACORDO;R$ 240.129,11; PARCELADO ;REALIZADO
Auto Posto Mais 13;RN;NORDESTE;JUDICIAL;Escritório 7;ACORDO;R$ 85.342,49; A VISTA ;REALIZADO
Auto Posto Mais 14;MG;SUDESTE;JUDICIAL;Escritório 1;DECISÃO JUDICIAL;R$ 146.509,46; A VISTA ;REALIZADO
Auto Posto Mais 15;SP;SÃO PAULO;JUDICIAL;Escritório 5;ACORDO;R$ 200.000,00; A VISTA ;REALIZADO
Auto Posto Mais 16;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 6.959,65; A VISTA ;REALIZADO
Auto Posto Mais 17;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 1.377.719,64; A VISTA ;REALIZADO
Auto Posto Mais 18;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 19.721,40; A VISTA ;REALIZADO
Auto Posto Mais 19;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 28.513,61; A VISTA ;REALIZADO
Auto Posto Mais 20;MT;CENTRO OESTE;JUDICIAL;Escritório 4;DECISÃO JUDICIAL;R$ 9.219,48; A VISTA ;REALIZADO
Auto Posto Mais 21;SC;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 315.212,30; A VISTA ;NÃO REALIZADO
Auto Posto Mais 22;SC;SUL;JUDICIAL;Escritório 6;DECISÃO JUDICIAL;R$ 765.510,00; A VISTA ;REALIZADO
Auto Posto Mais 23;RN;NORDESTE;JUDICIAL;Escritório 3;ACORDO;R$ 144.183,10; PARCELADO ;REALIZADO
Auto Posto Mais 24;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 134.424,89; A VISTA ;REALIZADO
Auto Posto Mais 25;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 400.000,00; A VISTA ;NÃO REALIZADO
Auto Posto Mais 26;CE;NORDESTE;JUDICIAL;Escritório 3;ACORDO;R$ 123.573,66; A VISTA ;REALIZADO
Auto Posto Mais 27;SC;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 270.000,00; A VISTA ;REALIZADO
