Auto Posto Nº 117,MA,NORDESTE,207393,SIM,40,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Nº 122,DF,CENTRO OESTE,200000,NÃO,40,EXECUÇÃO,NÃO,NÃO REALIZADO,10
Lubrificantes Psi,SP,SÃO PAULO,180000,SIM,40,EXECUÇÃO,SIM,REALIZADO,11
Auto Posto Mais 72,MT,CENTRO OESTE,175000,NÃO,40,EXECUÇÃO,NÃO,NÃO REALIZADO,10
Auto Posto Mais 87,MA,NORDESTE,160000,SIM,40,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Mais 26,CE,NORDESTE,674944,SIM,40,EXECUÇÃO,SIM,REALIZADO,9
Auto Posto Mais 59,MG,SUDESTE,121600,NÃO,40,EXECUÇÃO,SIM,REALIZADO,9
Qui Combustíveis,GO,CENTRO OESTE,2717841,SIM,40,EXECUÇÃO,SIM,REALIZADO,12
Ômega Rede Comercial,MS,CENTRO OESTE,2700000,SIM,40,EXECUÇÃO,SIM,REALIZADO,10
Rede Abastecedora Número 94,SC,SUL,1590000,SIM,40,EXECUÇÃO,SIM,REALIZADO,10
Rede de Postos Quinta,SP,SÃO PAULO,1556711,SIM,40,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Nº 14,SP,SÃO PAULO,1279226,SIM,40,EXECUÇÃO,SIM,REALIZADO,12
Lubrificantes NI,MG,SUDESTE,4609127,SIM,39,EXECUÇÃO,SIM,REALIZADO,9
Auto Posto Nº 22,SP,SÃO PAULO,1524259,SIM,39,CONHECIMENTO,NÃO,REALIZADO,10
Auto Posto Nº 15,MG,SUDESTE,1265023,SIM,39,EXECUÇÃO,SIM,REALIZADO,10
Rede Abastecedora Número 103,RS,SUL,1000000,SIM,39,EXECUÇÃO,NÃO,REALIZADO,7
Auto Posto Nº 88,SP,SÃO PAULO,893331,SIM,39,EXECUÇÃO,SIM,REALIZADO,13
Auto Posto Nº 48,SP,SÃO PAULO,885014,SIM,39,EXECUÇÃO,SIM,REALIZADO,11
Auto Posto Mais 35,CE,NORDESTE,500000,NÃO,39,CONHECIMENTO,NÃO,NÃO REALIZADO,6
Auto Posto Nº 57,SP,SÃO PAULO,495825,SIM,39,CONHECIMENTO,SIM,NÃO REALIZADO,8
Auto Posto Mais 69,MG,SUDESTE,385000,NÃO,39,EXECUÇÃO,SIM,REALIZADO,8
Rede Abastecedora Número 78,SP,SÃO PAULO,350000,NÃO,39,EXECUÇÃO,SIM,REALIZADO,13
Rede Abastecedora Número 111,SC,SUL,325884,SIM,39,EXECUÇÃO,SIM,REALIZADO,13
Rede Abastecedora Número 26,PR,SUL,303000,SIM,39,CONHECIMENTO,SIM,REALIZADO,8
Auto Posto Mais 11,BA,NORDESTE,283842,SIM,39,EXECUÇÃO,SIM,REALIZADO,7
Auto Posto Mais 61,MG,SUDESTE,305034,SIM,38,EXECUÇÃO,SIM,REALIZADO,12
Rede Abastecedora Número 140,SP,SÃO PAULO,275732,NÃO,38,CONHECIMENTO,NÃO,NÃO REALIZADO,10
Auto Posto Mais 12,PI,NORDESTE,240129,SIM,38,EXECUÇÃO,SIM,REALIZADO,9
Auto Posto Nº 114,MA,NORDESTE,207393,SIM,38,EXECUÇÃO,SIM,REALIZADO,9
Auto Posto Nº 125,SP,SÃO PAULO,194519,SIM,38,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Mais 23,RN,NORDESTE,144183,NÃO,38,CONHECIMENTO,SIM,REALIZADO,8
Auto Posto Nº 1,RJ,SUDESTE,112000,SIM,38,EXECUÇÃO,SIM,REALIZADO,6
Auto Posto Mais 77,SP,SÃO PAULO,109724,NÃO,38,CONHECIMENTO,NÃO,REALIZADO,6
Rede Abastecedora Número 25,MG,SUDESTE,105000,NÃO,38,EXECUÇÃO,NÃO,REALIZADO,6
Rede Abastecedora Número 81,ES,SUDESTE,104469,NÃO,38,EXECUÇÃO,SIM,REALIZADO,8
Rede Abastecedora Número 33,SP,SÃO PAULO,101776,NÃO,38,EXECUÇÃO,NÃO,REALIZADO,6
Auto Posto Nº 8,SP,SÃO PAULO,101000,NÃO,38,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Nº 31,SP,SÃO PAULO,1200000,SIM,38,EXECUÇÃO,SIM,REALIZADO,7
Auto Posto Nº 35,RJ,SUDESTE,802179,SIM,38,CONHECIMENTO,SIM,REALIZADO,5
Auto Posto Mais 65,TO,NORTE,783510,SIM,37,CONHECIMENTO,NÃO,REALIZADO,12
Auto Posto Nº 44,PB,NORDESTE,700000,SIM,37,EXECUÇÃO,SIM,REALIZADO,6
Auto Posto Nº 61,RS,SUL,477848,SIM,37,CONHECIMENTO,SIM,NÃO REALIZADO,10
Auto Posto Mais 33,AL,NORDESTE,411267,SIM,37,CONHECIMENTO,SIM,NÃO REALIZADO,5
Auto Posto Mais 32,PE,NORDESTE,388057,NÃO,37,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Nº 82,PR,SUL,350000,NÃO,37,CONHECIMENTO,NÃO,NÃO REALIZADO,6
